IF-MIB::ifInErrors.7 0
IF-MIB::ifInErrors.8 0
IF-MIB::ifInUnknownProtos.1 0
IF-MIB::ifInUnknownProtos.2 0
IF-MIB::ifInUnknownProtos.3 0
IF-MIB::ifInUnknownProtos.4 0
IF-MIB::ifInUnknownProtos.5 0
IF-MIB::ifInUnknownProtos.7 0
IF-MIB::ifInUnknownProtos.8 0
IF-MIB::ifOutOctets.1 838467118
IF-MIB::ifOutOctets.2 830998468
IF-MIB::ifOutOctets.3 1974452607
IF-MIB::ifOutOctets.4 1906389487
IF-MIB::ifOutOctets.5 799063256
IF-MIB::ifOutOctets.7 174177769
IF-MIB::ifOutOctets.8 31713883
IF-MIB::ifOutUcastPkts.1 220692
IF-MIB::ifOutUcastPkts.2 7559669
IF-MIB::ifOutUcastPkts.3 1370447
IF-MIB::ifOutUcastPkts.4 311319
IF-MIB::ifOutUcastPkts.5 7551320
IF-MIB::ifOutUcastPkts.7 2875048
IF-MIB::ifOutUcastPkts.8 335949
IF-MIB::ifOutNUcastPkts.1 0
IF-MIB::ifOutNUcastPkts.2 0
IF-MIB::ifOutNUcastPkts.3 0
IF-MIB::ifOutNUcastPkts.4 0
IF-MIB::ifOutNUcastPkts.5 0
IF-MIB::ifOutNUcastPkts.7 0
IF-MIB::ifOutNUcastPkts.8 0
IF-MIB::ifOutDiscards.1 0
IF-MIB::ifOutDiscards.2 0
IF-MIB::ifOutDiscards.3 0
IF-MIB::ifOutDiscards.4 0
IF-MIB::ifOutDiscards.5 0
IF-MIB::ifOutDiscards.7 0
IF-MIB::ifOutDiscards.8 0
IF-MIB::ifOutErrors.1 0
IF-MIB::ifOutErrors.2 0
IF-MIB::ifOutErrors.3 0
IF-MIB::ifOutErrors.4 0
IF-MIB::ifOutErrors.5 0
IF-MIB::ifOutErrors.7 0
IF-MIB::ifOutErrors.8 0
IF-MIB::ifOutQLen.1 0
IF-MIB::ifOutQLen.2 0
IF-MIB::ifOutQLen.3 0
IF-MIB::ifOutQLen.4 0
IF-MIB::ifOutQLen.5 0
IF-MIB::ifOutQLen.7 0
IF-MIB::ifOutQLen.8 0
IF-MIB::ifSpecific.1 SNMPv2-SMI::zeroDotZero
IF-MIB::ifSpecific.2 SNMPv2-SMI::zeroDotZero
IF-MIB::ifSpecific.3 SNMPv2-SMI::zeroDotZero
IF-MIB::ifSpecific.4 SNMPv2-SMI::zeroDotZero
IF-MIB::ifSpecific.5 SNMPv2-SMI::zeroDotZero
IF-MIB::ifSpecific.7 SNMPv2-SMI::zeroDotZero
IF-MIB::ifSpecific.8 SNMPv2-SMI::zeroDotZero
RFC1213-MIB::atIfIndex.5.1.119.147.208.65 5
RFC1213-MIB::atPhysAddress.5.1.119.147.208.65 "54 89 98 17 F4 C6 "
RFC1213-MIB::atNetAddress.5.1.119.147.208.65 77:93:D0:41
IP-MIB::ipForwarding.0 forwarding
IP-MIB::ipDefaultTTL.0 64
IP-MIB::ipInReceives.0 8285958
IP-MIB::ipInHdrErrors.0 0
IP-MIB::ipInAddrErrors.0 0
IP-MIB::ipForwDatagrams.0 296249
IP-MIB::ipInUnknownProtos.0 0
IP-MIB::ipInDiscards.0 0
IP-MIB::ipInDelivers.0 7852919
IP-MIB::ipOutRequests.0 8075885
IP-MIB::ipOutDiscards.0 3482602
IP-MIB::ipOutNoRoutes.0 0
IP-MIB::ipReasmTimeout.0 30 seconds
IP-MIB::ipReasmReqds.0 0
IP-MIB::ipReasmOKs.0 0
IP-MIB::ipReasmFails.0 0
IP-MIB::ipFragOKs.0 0
IP-MIB::ipFragFails.0 0
IP-MIB::ipFragCreates.0 0
IP-MIB::ipAdEntAddr.10.147.208.116 10.147.208.116
IP-MIB::ipAdEntAddr.58.254.168.141 58.254.168.141
IP-MIB::ipAdEntAddr.119.147.208.116 119.147.208.116
IP-MIB::ipAdEntAddr.127.0.0.1 127.0.0.1
IP-MIB::ipAdEntIfIndex.10.147.208.116 4
IP-MIB::ipAdEntIfIndex.58.254.168.141 2
IP-MIB::ipAdEntIfIndex.119.147.208.116 5
IP-MIB::ipAdEntIfIndex.127.0.0.1 1
IP-MIB::ipAdEntNetMask.10.147.208.116 255.255.255.192
IP-MIB::ipAdEntNetMask.58.254.168.141 255.255.255.128
IP-MIB::ipAdEntNetMask.119.147.208.116 255.255.255.192
IP-MIB::ipAdEntNetMask.127.0.0.1 255.0.0.0
IP-MIB::ipAdEntBcastAddr.10.147.208.116 1
IP-MIB::ipAdEntBcastAddr.58.254.168.141 1
IP-MIB::ipAdEntBcastAddr.119.147.208.116 1
IP-MIB::ipAdEntBcastAddr.127.0.0.1 0
RFC1213-MIB::ipRouteDest.0.0.0.0 0.0.0.0
RFC1213-MIB::ipRouteDest.10.147.208.64 10.147.208.64
RFC1213-MIB::ipRouteDest.58.254.168.128 58.254.168.128
RFC1213-MIB::ipRouteDest.119.147.208.64 119.147.208.64
RFC1213-MIB::ipRouteIfIndex.0.0.0.0 5
RFC1213-MIB::ipRouteIfIndex.10.147.208.64 4
RFC1213-MIB::ipRouteIfIndex.58.254.168.128 2
RFC1213-MIB::ipRouteIfIndex.119.147.208.64 5
RFC1213-MIB::ipRouteMetric1.0.0.0.0 1
RFC1213-MIB::ipRouteMetric1.10.147.208.64 0
RFC1213-MIB::ipRouteMetric1.58.254.168.128 0
RFC1213-MIB::ipRouteMetric1.119.147.208.64 0
RFC1213-MIB::ipRouteNextHop.0.0.0.0 119.147.208.65
RFC1213-MIB::ipRouteNextHop.10.147.208.64 0.0.0.0
RFC1213-MIB::ipRouteNextHop.58.254.168.128 0.0.0.0
RFC1213-MIB::ipRouteNextHop.119.147.208.64 0.0.0.0
RFC1213-MIB::ipRouteType.0.0.0.0 indirect
RFC1213-MIB::ipRouteType.10.147.208.64 direct
RFC1213-MIB::ipRouteType.58.254.168.128 direct
RFC1213-MIB::ipRouteType.119.147.208.64 direct
RFC1213-MIB::ipRouteProto.0.0.0.0 local
RFC1213-MIB::ipRouteProto.10.147.208.64 local
RFC1213-MIB::ipRouteProto.58.254.168.128 local
RFC1213-MIB::ipRouteProto.119.147.208.64 local
RFC1213-MIB::ipRouteMask.0.0.0.0 0.0.0.0
RFC1213-MIB::ipRouteMask.10.147.208.64 255.255.255.192
RFC1213-MIB::ipRouteMask.58.254.168.128 255.255.255.128
RFC1213-MIB::ipRouteMask.119.147.208.64 255.255.255.192
RFC1213-MIB::ipRouteInfo.0.0.0.0 SNMPv2-SMI::zeroDotZero
RFC1213-MIB::ipRouteInfo.10.147.208.64 SNMPv2-SMI::zeroDotZero
RFC1213-MIB::ipRouteInfo.58.254.168.128 SNMPv2-SMI::zeroDotZero
RFC1213-MIB::ipRouteInfo.119.147.208.64 SNMPv2-SMI::zeroDotZero
IP-MIB::ipNetToMediaIfIndex.5.119.147.208.65 5
IP-MIB::ipNetToMediaPhysAddress.5.119.147.208.65 54:89:98:17:f4:c6
IP-MIB::ipNetToMediaNetAddress.5.119.147.208.65 119.147.208.65
IP-MIB::ipNetToMediaType.5.119.147.208.65 dynamic
IP-MIB::ipRoutingDiscards.0 0
IP-MIB::ip.24.4.1.1.0.0.0.0.0.0.0.0.0.58.254.168.129 0.0.0.0
IP-MIB::ip.24.4.1.1.0.0.0.0.0.0.0.0.0.119.147.208.65 0.0.0.0
IP-MIB::ip.24.4.1.1.10.147.208.64.192.255.255.255.0.0.0.0.0 10.147.208.64
IP-MIB::ip.24.4.1.1.58.254.168.128.128.255.255.255.0.0.0.0.0 58.254.168.128
IP-MIB::ip.24.4.1.1.119.147.208.64.192.255.255.255.0.0.0.0.0 119.147.208.64
IP-MIB::ip.24.4.1.2.0.0.0.0.0.0.0.0.0.58.254.168.129 0.0.0.0
IP-MIB::ip.24.4.1.2.0.0.0.0.0.0.0.0.0.119.147.208.65 0.0.0.0
IP-MIB::ip.24.4.1.2.10.147.208.64.192.255.255.255.0.0.0.0.0 192.255.255.255
IP-MIB::ip.24.4.1.2.58.254.168.128.128.255.255.255.0.0.0.0.0 128.255.255.255
IP-MIB::ip.24.4.1.2.119.147.208.64.192.255.255.255.0.0.0.0.0 192.255.255.255
IP-MIB::ip.24.4.1.3.0.0.0.0.0.0.0.0.0.58.254.168.129 0
IP-MIB::ip.24.4.1.3.0.0.0.0.0.0.0.0.0.119.147.208.65 0
IP-MIB::ip.24.4.1.3.10.147.208.64.192.255.255.255.0.0.0.0.0 0
IP-MIB::ip.24.4.1.3.58.254.168.128.128.255.255.255.0.0.0.0.0 0
IP-MIB::ip.24.4.1.3.119.147.208.64.192.255.255.255.0.0.0.0.0 0
IP-MIB::ip.24.4.1.4.0.0.0.0.0.0.0.0.0.58.254.168.129 58.254.168.129
IP-MIB::ip.24.4.1.4.0.0.0.0.0.0.0.0.0.119.147.208.65 119.147.208.65
IP-MIB::ip.24.4.1.4.10.147.208.64.192.255.255.255.0.0.0.0.0 0.0.0.0
IP-MIB::ip.24.4.1.4.58.254.168.128.128.255.255.255.0.0.0.0.0 0.0.0.0
IP-MIB::ip.24.4.1.4.119.147.208.64.192.255.255.255.0.0.0.0.0 0.0.0.0
